treatment_pk,sector,Position,Title of Experiential Learning Project,Name of Organization Providing Project,Duration,Location ,highlight_1,highlight_2,highlight_3
1,ITC,DevOps & QA Intern,Software Development Lifecycle Enhancement,CED Systems LLC,8 weeks,Toronto,"Conducted a comprehensive analysis of the existing SDLC, identifying key bottlenecks and proposing a strategic shift towards agile methodologies and user-centered design to boost development velocity and product quality.","Architected and implemented a robust, automated testing framework, creating a suite of documented test cases that significantly enhanced quality assurance protocols and reduced manual testing overhead.","Delivered a detailed process enhancement report and executive presentation, successfully demonstrating how the implemented improvements would optimize the end-to-end software development lifecycle."
2,ITC,AI & Automation Analyst Intern,AI Tool Evaluation and Implementation for Business Process Automation,Game Pill,8 weeks,Toronto,"Engineered a systematic evaluation framework to assess third-party AI tools (e.g., Lovable, Retell AI), performing a rigorous cost-benefit analysis to identify the optimal solution for business process automation.","Designed and executed a real-world testing pipeline to validate AI tool capabilities in a live environment, ensuring seamless integration and alignment with Game Pill's operational requirements.","Developed a strategic implementation roadmap detailing the phased integration of the selected AI tool to streamline key business processes, projecting significant gains in operational efficiency."
3,ITC,IT Strategy & Transformation Intern,Tech Enhancement Strategy,Genesis Jewellry Boutique,8 weeks,Toronto,"Executed a comprehensive audit of the current technology infrastructure, identifying critical vulnerabilities and misalignments with strategic business objectives for customer engagement and operational efficiency.","Formulated a set of actionable, high-impact recommendations for a modernized technology stack, including specific software and hardware upgrades to enhance core systems like CRM and inventory management.","Developed and presented a full-scale implementation plan to senior management, outlining a phased adoption strategy, precise cost estimates, and timelines to guide the boutique's digital transformation."
4,CCC,Cloud AI Integration Intern,Integrating AI and Cloud Infrastructure for Enhanced Asset Management,Gluu,8 weeks,"Toronto, Ontario","Engineered and configured a scalable Amazon EC2 instance to serve as the backbone for integrating advanced AI models, directly enabling real-time asset condition reporting.","Successfully integrated the Dify AI Bot with a Supabase backend and Vercel front-end, establishing a robust, full-stack data pipeline for a multi-modal AI asset management system.","Led the development and refinement of a prototype watch classification model within AWS SageMaker, improving brand identification accuracy and providing actionable data for asset tracking."
5,CCC,Cloud Infrastructure Intern,Integrating AI and Cloud Infrastructure for Enhanced Asset Management,Gluu,8 weeks,"Toronto, Ontario","Performed a critical update and reconfiguration of a production Amazon EC2 instance, ensuring high availability and robust support for newly deployed cloud services and AI integrations.","Architected and validated the communication pathways between the Supabase database and the Vercel front-end interface, ensuring low-latency data retrieval and a responsive user experience.","Authored a comprehensive technical report and presented findings on model optimization techniques, creating a knowledge base that guided future cloud infrastructure and AI integration strategies."
6,CCC,AI Data Management Intern,Integrating AI and Cloud Infrastructure for Enhanced Asset Management,Gluu,8 weeks,"Toronto, Ontario","Managed and structured the complex data flows for a multi-modal AI model, ensuring the integrity and quality of data used for real-time machine learning and asset condition reporting.","Played a key role in the development of a refined AI prototype by curating and preparing datasets in AWS SageMaker, which directly contributed to a significant improvement in watch classification accuracy.","Diligently documented all data management processes, configurations, and scripts within AWS SageMaker, promoting transparency, reproducibility, and collaborative development for future project phases."
7,CCC,AR Platform Architect Intern,Re-Architecting ARCortex's Unity-Based AR Platform,ARCortex,8 weeks,"Toronto, Ontario","Designed a novel, scalable architecture for an immersive AR/VR platform by leveraging agent-based computing and generative AI, reducing human development effort and increasing creative flexibility.","Developed the specifications for a Model Context Protocol (MCP) and an Agent-to-Agent (A2A) protocol, creating a foundational system for modular agent coordination and seamless composability.","Authored a detailed evaluation report comparing scene-based versus video-based authoring workflows, providing critical data that informed the strategic direction for optimizing performance and user engagement."
8,CCC,Generative AI Developer Intern,Re-Architecting ARCortex's Unity-Based AR Platform,ARCortex,8 weeks,"Toronto, Ontario","Implemented a functional prototype that integrated no-code pipelines with AI-driven scene generation, successfully demonstrating a new paradigm that drastically reduces manual development and authoring time.","Leveraged emerging physics-based AI models to simulate complex, realistic interactions within AR environments, eliminating the need for manual tuning and enhancing the immersive experience.","Built and presented a complete end-to-end demonstration system that showcased the workflow from a high-level user prompt to a fully deployed, dynamic, and immersive AR/VR experience."
9,CCC,Cloud Asset Management Intern,Cloud Based Asset Management,Beaches and Trails Publishing,8 weeks,"Toronto, Ontario","Designed and deployed a scalable, cloud-based folder and file system to organize and manage thousands of digital assets for over 300 unique book titles, enhancing operational efficiency.","Engineered the integration between the cloud storage system and a central Notion database, creating a single source of truth for all marketing metadata, including descriptions, links, and promotional content.","Developed and delivered a comprehensive user guide and training materials for system maintenance and updates, which ensured high user adoption and the long-term success of the asset management strategy."
10,CCC,Digital Operations Intern,Cloud Based Asset Management,Beaches and Trails Publishing,8 weeks,"Toronto, Ontario",Identified and implemented a cloud-based digital asset management solution that unlocked passive marketing opportunities and streamlined content workflows for the company's entire 300+ title catalogue.,"Automated the linkage between book title assets and their corresponding marketing metadata in a Notion database, significantly reducing manual data entry and ensuring content consistency across platforms.","Collaborated directly with the publishing and marketing teams to analyze their workflows, translating business requirements into a technical solution that improved cross-functional team productivity and efficiency."
11,EEC,Product Analysis Intern,Competitive Product Analysis for Linear Actuators,Progressive Automation,8 weeks,"Waterloo, Ontario","Conducted a comprehensive technical analysis of competitor linear actuators, reverse-engineering key performance metrics, material specifications, and compatibility standards.","Developed a detailed and strategic product replacement chart to serve as a critical tool for R&D, sales, and marketing teams, identifying market gaps and opportunities.","Authored a summary report and delivered a technical presentation to company stakeholders, providing actionable insights that directly informed future product development and strategic positioning."
12,EEC,Competitive Intelligence Intern,Competitive Product Analysis for Linear Actuators,Progressive Automation,8 weeks,"Waterloo, Ontario","Performed an in-depth market analysis of the automation industry, focusing on competitor product lines to establish a baseline for performance and feature comparisons.",Created a strategic business metrics framework to evaluate the technical and commercial viability of competitor products against the company's existing product line.,"Collaborated with the engineering team to translate technical specifications into clear value propositions for the sales and marketing departments, enhancing their competitive selling strategies."
13,EEC,Signal Processing Engineering Intern,Signal Processing and Feature Extraction for Radio-Wave-based Sensors,TerraWave,8 weeks,"Toronto, Ontario","Applied advanced signal processing techniques, including filtering and Fourier analysis, to raw radio-wave sensor data to successfully extract meaningful features and identify critical patterns.","Developed and documented custom data processing algorithms and scripts in Python to automate the analysis of field data, improving the efficiency and accuracy of feature extraction.",Authored a comprehensive technical report detailing the methodologies used and presented findings that provided key recommendations for optimizing future sensor deployments and data collection strategies.
14,EEC,Data Analysis Intern,Signal Processing and Feature Extraction for Radio-Wave-based Sensors,TerraWave,8 weeks,"Toronto, Ontario","Analyzed large datasets from radio-wave sensors to identify trends, patterns, and anomalies that were used to improve the accuracy and reliability of sensor readings in the field.",Contributed to the development of more efficient data processing algorithms by identifying bottlenecks in the existing analysis workflow and proposing optimized solutions.,"Created detailed data visualizations to communicate complex findings to a non-technical audience, ensuring the project's insights could be used to inform broader business decisions."
15,EEC,Medical Device Engineering Intern,Component Selection and Sizing for Medical Device Application,SonoMed Innovations,8 weeks,"Toronto, Ontario","Analyzed the complex functional and performance requirements for a new medical device, defining key technical parameters for power consumption, size constraints, and biocompatibility.","Conducted extensive research and comparative analysis of various electronic and mechanical components, evaluating them against system objectives based on cost, availability, and reliability data.",Authored a detailed technical report with full justification for the component selection process and delivered a presentation that demonstrated how the chosen parts ensured optimal performance and integration.
16,EEC,Component Sizing Intern,Component Selection and Sizing for Medical Device Application,SonoMed Innovations,8 weeks,"Toronto, Ontario",Performed critical calculations and simulations to ensure the proper sizing and selection of mechanical and electronic components to meet the stringent requirements of a medical device application.,"Developed a decision-making matrix to systematically evaluate potential components, ensuring a transparent and evidence-based selection process that aligned with system goals.","Collaborated with a cross-functional team to ensure all selected components were optimally integrated, mitigating risks related to compatibility and performance before the prototyping phase."
17,PME,Process Optimization Intern,Digital Batch Record Process Optimization,Cosmetica Labs,8 weeks,"Mississauga, Ontario","Created a detailed end-to-end process map of the current digital batch record workflow, successfully identifying four key bottlenecks where manual processes created data-entry delays.","Authored a comprehensive report on system inefficiencies, providing three actionable, data-driven recommendations for process improvements to better align the digital system with manual operations.","Presented findings and proposed solutions to project stakeholders, outlining a clear strategy to enhance the user-friendliness of the system, minimize errors, and maximize production throughput."
18,PME,Digital Systems Internship,Digital Batch Record Process Optimization,Cosmetica Labs,8 weeks,"Mississauga, Ontario","Analyzed the integration between a new digital batch record software and existing manual processes, identifying critical gaps that led to a 15% increase in processing time.","Developed and proposed a streamlined workflow that reduced redundant steps, ensuring a smoother transition from manual to digital operations and enhancing overall productivity.",Collaborated with the IT and production teams to ensure that proposed changes were technically feasible and met the operational needs of the end-users.
19,PME,Engineering Project Management Intern,Leafcutter Bee Cocoon Preservation System,TNT Pollination,8 weeks,"Guelph, Ontario","Conducted a comprehensive feasibility study on a novel cocoon preservation system, researching and comparing existing storage technologies to meet specific atmospheric (10% oxygen) and temperature (6°C) requirements.","Developed a detailed prototype design for a scalable system capable of preserving up to 5,000 gallons of leafcutter bee cocoons, directly addressing the project's goal to reduce annual bee loss and waste.","Authored a complete feasibility analysis report that projected a 20% reduction in costs, detailing the commercial scalability and cost-effectiveness of the proposed solution to guide a major capital investment decision."
20,PME,Agricultural Engineering Intern,Leafcutter Bee Cocoon Preservation System,TNT Pollination,8 weeks,"Guelph, Ontario","Translated peer-reviewed scientific data on bee preservation into tangible engineering requirements for a commercial-scale agricultural storage solution, ensuring the project was grounded in proven research.","Managed the research and documentation phase of the project, compiling a report on existing storage technologies that became the foundational document for the prototype design phase.",Contributed to the project's goal of providing greater flexibility for pollinators by designing a system that could significantly extend the viability of cocoons for use in the following agricultural year.
21,PME,Quality Assurance Internship,Platform Testing and Pilot Evaluation,Aben hub,8 weeks,"Toronto, Ontario","Executed over 50 hours of functional and usability testing on a new partner collaboration platform, simulating real-world scenarios to identify and document critical software bugs and UX deficiencies.","Served as a key liaison with three pilot partners, systematically collecting, triaging, and analyzing user feedback to identify common pain points and inform the development roadmap.","Compiled a comprehensive testing report with a prioritized list of actionable recommendations, which was presented to the project team and adopted to enhance platform stability before its official launch."
22,PME,Platform Testing Intern,Platform Testing and Pilot Evaluation,Aben hub,8 weeks,"Toronto, Ontario","Designed and documented detailed testing procedures for a new software platform, ensuring consistent and repeatable quality assurance processes throughout the pilot phase.","Identified and reported 15 major bugs and 25 minor usability issues, providing clear, reproducible steps and proposed solutions that accelerated the development team's debugging process.","Analyzed qualitative and quantitative data from pilot partners to create a final report that provided a clear, evidence-based case for specific platform improvements."
23,CHC,Community Health Advocate Intern,Sickle Cell Awareness Youth Program,Sickle Cell Anemia Canada,8 weeks,"Toronto, Ontario","Developed and delivered educational workshops on advocacy and public speaking, empowering youth with sickle cell disease to become effective advocates for their own health needs within the community.","Managed a $5,000 grant to support youth-led community projects, directly facilitating five initiatives that raised local awareness and education about Sickle Cell Disease.","Coordinated with Subject-Matter Experts to create an engaging curriculum focused on building leadership and conflict management skills, enhancing the capacity of youth to lead community health initiatives."
24,CHC,Youth Program Coordinator,Sickle Cell Awareness Youth Program,Sickle Cell Anemia Canada,8 weeks,"Toronto, Ontario","Planned and executed a community-based youth program focused on health education and capacity building for a vulnerable population, resulting in a 30% increase in participant engagement.",Implemented a comprehensive M&E plan using pre- and post-program surveys to measure the program's impact on health literacy and self-advocacy skills among participants.,"Fostered a supportive and inclusive environment that promoted community belonging and peer support for youth living with a chronic illness, adhering to all organizational guidelines."
25,CHC,Health Accessibility Analyst,Global Market Analysis for Pharmaceutical Accessibility,MedsVilla,8 weeks,"Toronto, Ontario","Conducted a detailed market analysis of the USA, UK, Australia, and Japan to identify systemic barriers, such as regulatory hurdles and pricing strategies, that limit community access to essential medications.","Developed a comprehensive report with actionable recommendations for improving pharmaceutical accessibility and affordability for diverse global populations, directly addressing health equity issues.",Analyzed international healthcare systems and distribution channels to provide strategic insights on how to optimize market strategies to better serve underserved communities.
26,CHC,Global Health Equity Intern,Global Market Analysis for Pharmaceutical Accessibility,MedsVilla,8 weeks,"Toronto, Ontario",Researched and reported on the socio-economic factors and regulatory environments in four key countries that impact the affordability and accessibility of pain management medications at the community level.,Contributed to a global health initiative by providing data-driven insights that informed strategies to reduce disparities in access to pharmaceuticals across international markets.,"Presented findings on how different pricing strategies affect customer access to medication, advocating for models that prioritize public health and community well-being."
27,CHC,Community Outreach Coordinator,Senior Homecare Outreach Enhancement,Salyx Health,8 weeks,"Toronto, Ontario","Developed and implemented a targeted community outreach strategy to connect senior clients and their caregivers with vital homecare services, resulting in a 15% increase in client inquiries.","Created culturally sensitive and accessible marketing materials, including brochures and digital content, to effectively communicate the value of homecare offerings to a diverse senior population.","Conducted a thorough needs assessment of the local senior homecare market, analyzing competitor strategies and identifying gaps in service to inform a more effective and empathetic outreach approach."
28,CHC,Senior Health Navigator Intern,Senior Homecare Outreach Enhancement,Salyx Health,8 weeks,"Toronto, Ontario","Analyzed current outreach methods to identify and eliminate barriers preventing seniors from accessing homecare information, improving the clarity and effectiveness of communication channels.","Crafted compelling and clear messaging designed to resonate with seniors and their caregivers, ensuring that information about available health services was easily understood and valued.","Compiled a comprehensive outreach strategy document with actionable recommendations, providing Salyx Health with the tools to build stronger trust and enhance its presence within the community."
29,DMC,Digital Marketing Coordinator Intern,Digital Marketing Content Creation,Canada Online Tutoring,8 weeks,"Toronto, ON","Led a comprehensive audit of brand positioning and target audience personas, translating key insights into a data-informed content strategy designed to accelerate user journey progression.","Architected and executed a multi-channel content campaign, producing a diverse portfolio of high-performing creative assets—including video reels, social media posts, and a targeted email newsletter—to drive engagement and conversions.","Developed a full-funnel digital campaign framework, defining core KPIs, channel mix, and content distribution timelines to ensure measurable ROI and alignment with strategic business objectives."
30,DMC,Business Development & Marketing Intern,New Market Research and Lead Generation,Mrkt360,8 weeks,"Toronto, Ontario","Conducted in-depth market analysis to identify and qualify high-value industry verticals, creating a strategic roadmap for expanding the client base into previously untapped markets.",Engineered a scalable lead generation pipeline by synthesizing market research data and employing advanced prospecting techniques to build a high-quality list of decision-makers for targeted outreach.,"Devised and executed a strategic sales outreach strategy, successfully converting cold leads into qualified prospects and securing key meetings to demonstrate the value proposition of core digital marketing services (SEO, SEM, SMM)."
31,DMC,Digital Marketing Strategist Intern,Digital Marketing Strategy Enhancement,TGT Solutions,8 weeks,"Toronto,ON","Executed a full-scale digital marketing audit, leveraging analytics and consumer behavior data to pinpoint critical gaps and strategic opportunities for enhancing brand visibility and market penetration.","Architected a comprehensive, data-driven digital strategy with actionable recommendations for optimizing the marketing mix across SEO, social media, and content marketing to boost customer engagement.","Formulated a sophisticated plan to refine audience targeting and optimize the end-to-end digital customer journey, creating a clear roadmap to increase brand resonance and drive measurable growth."
32,FSC,Financial Operations Analyst Intern,Financial System Setup,HUSH DOLL HAUSE INC,8 weeks,"Toronto, ON","Architected a robust financial framework from the ground up, designing a streamlined system to systematize income/expense tracking and enhance financial data integrity.","Developed a suite of dynamic reporting tools, including a cash flow visibility report and simplified templates for financial statements, to support informed, data-driven decision-making.","Authored a comprehensive user guide to drive the adoption of the new system, ensuring a seamless operational transition and empowering the company with enhanced financial management capabilities."
33,FSC,Financial Planning & Analysis Intern,Financial Framework Development,Bootsy Entertainment Group,8 weeks,"Toronto, Ontario","Engineered a comprehensive cost accounting framework, establishing a standardized chart of accounts and a sophisticated job-costing model to enable precise cost allocation and profitability analysis across all projects.","Constructed a dynamic cash-flow forecasting model to project liquidity and anticipate financial needs, empowering the leadership team with the foresight for proactive capital management.","Developed an interactive KPI dashboard to translate complex financial data into actionable, real-time insights, directly supporting strategic decision-making and sustainable growth initiatives."
34,FSC,Business Strategy & Finance Intern,Business Plan and Financial Forecasting,Talmudy,8 weeks,"Toronto,ON","Conducted in-depth market and competitive analysis to identify key growth opportunities, informing the development of a strategic business plan designed to secure a competitive advantage in the ed-tech sector.","Built a comprehensive multi-year financial model, projecting revenue streams, operating expenses, and cash flows to provide a clear, data-backed roadmap for sustainable growth and investment readiness.","Synthesized all strategic and financial analyses into an investor-grade business plan and forecasting report, culminating in a final presentation that delivered actionable insights to guide Talmudy's future growth."
35,FSC,Financial Analyst Intern,Financial Strategy for New Product Launch,Drastic Drink,8 weeks,"Toronto, Ontario","Revamped the company’s business plan to be investor-ready and built a qualified pipeline of potential investors, government grants, and funding opportunities to secure seed capital for a new product launch.","Formulated a comprehensive go-to-market financial strategy, which included identifying and vetting potential supply chain vendors and optimizing customer invoicing processes to maximize day-one operational efficiency.","Conducted a thorough risk assessment of the new product launch, analyzing internal business process implications across marketing, sales, and customer experience to ensure a successful and profitable market entry."
36,FSCEF,Financial Operations Analyst Intern,Financial System Setup,HUSH DOLL HAUSE INC,8 weeks,"Toronto, ON","Architected a robust financial framework from the ground up, designing a streamlined system to systematize income/expense tracking and enhance financial data integrity.","Developed a suite of dynamic reporting tools, including a cash flow visibility report and simplified templates for financial statements, to support informed, data-driven decision-making.","Authored a comprehensive user guide to drive the adoption of the new system, ensuring a seamless operational transition and empowering the company with enhanced financial management capabilities."
37,FSCEF,Financial Planning & Analysis Intern,Financial Framework Development,Bootsy Entertainment Group,8 weeks,"Toronto, Ontario","Engineered a comprehensive cost accounting framework, establishing a standardized chart of accounts and a sophisticated job-costing model to enable precise cost allocation and profitability analysis across all projects.","Constructed a dynamic cash-flow forecasting model to project liquidity and anticipate financial needs, empowering the leadership team with the foresight for proactive capital management.","Developed an interactive KPI dashboard to translate complex financial data into actionable, real-time insights, directly supporting strategic decision-making and sustainable growth initiatives."
38,FSCEF,Business Strategy & Finance Intern,Business Plan and Financial Forecasting,Talmudy,8 weeks,"Toronto,ON","Conducted in-depth market and competitive analysis to identify key growth opportunities, informing the development of a strategic business plan designed to secure a competitive advantage in the ed-tech sector.","Built a comprehensive multi-year financial model, projecting revenue streams, operating expenses, and cash flows to provide a clear, data-backed roadmap for sustainable growth and investment readiness.","Synthesized all strategic and financial analyses into an investor-grade business plan and forecasting report, culminating in a final presentation that delivered actionable insights to guide Talmudy's future growth."
39,FSCEF,Financial Analyst Intern,Financial Strategy for New Product Launch,Drastic Drink,8 weeks,"Toronto, Ontario","Revamped the company’s business plan to be investor-ready and built a qualified pipeline of potential investors, government grants, and funding opportunities to secure seed capital for a new product launch.","Formulated a comprehensive go-to-market financial strategy, which included identifying and vetting potential supply chain vendors and optimizing customer invoicing processes to maximize day-one operational efficiency.","Conducted a thorough risk assessment of the new product launch, analyzing internal business process implications across marketing, sales, and customer experience to ensure a successful and profitable market entry."
40,LC,AI Business Development Intern,AI-Driven B2B Customer Discovery and Development,Ada Analytics,8 weeks,"Toronto,ON","Led a market validation initiative for a novel AI prototype, identifying high-potential B2B client segments and refining the core value proposition for maximum industry impact.","Developed and executed a strategic outreach plan to engage key decision-makers, leveraging network analysis to build a robust pipeline of qualified partnership opportunities.","Successfully secured multiple Letters of Intent and pilot program commitments, directly validating the AI solution's market fit and creating a foundational client base for future growth."
41,LC,Growth Strategy Analyst Intern,Scaling Financial Strategy,Bloomin' Bliss Bath & Spa Works,8 weeks,"Toronto,ON",Conducted a deep-dive financial analysis to deconstruct current profit margins and identify the key financial levers required to transition from a local business to a scalable enterprise.,"Architected a dynamic, multi-channel pricing strategy optimized for both retail and wholesale expansion, ensuring sustained profitability and competitive market positioning during rapid growth.","Developed a comprehensive long-range financial forecast that provided a strategic roadmap for the company's expansion, modeling capital requirements and revenue projections to guide executive decision-making."
42,LC,Investment Banking Analyst Intern,Capital Raising Support: CIM and Financial Model Development,Fifteen North Solutions Inc,8 weeks,"Toronto,ON","Authored an investor-grade Confidential Information Memorandum (CIM), synthesizing complex company data to articulate a compelling narrative on the business model, market position, and growth strategy.","Constructed a sophisticated, multi-scenario financial model with detailed projections, designed to withstand institutional due diligence and clearly demonstrate potential returns to lenders and equity partners.","Engineered a full suite of capital raising materials that effectively communicated the company's value proposition, directly supporting the firm's efforts to attract and secure strategic investment."
43,SCC,Supply Chain Data Analyst Intern,Optimization of inventory,Trust Clarity,8 weeks,"Toronto,ON","Executed a comprehensive data overhaul of the global product catalog, standardizing categories and implementing an ABC classification system to provide visibility into inventory value.","Engineered a suite of dynamic dashboards to analyze customer purchasing behavior, transforming raw order history into actionable insights on sales trends and brand performance.","Developed a predictive recommendation engine that systematically matches customer purchasing profiles with available inventory, creating a scalable pipeline for targeted and automated marketing campaigns."
44,SCC,Logistics Analyst Intern,Optimizing Logistics for VR headset distribution,UnVRap,8 weeks,"Toronto,ON","Conducted a thorough, data-driven analysis of the end-to-end distribution network for VR headsets, identifying critical inefficiencies in current shipping processes to clinics and universities.","Formulated a strategic cost-reduction plan by applying data science techniques to logistics data, projecting significant improvements in economic sustainability and profit enhancement.","Delivered a set of high-impact, actionable recommendations to senior management, providing a clear roadmap to streamline logistics operations and optimize the supply chain for cost and timeliness."
45,SCC,Operations Strategy Intern,Order Fulfillment Process Mapping and Cost Analysis,Eco2Bureau,8 weeks,"Toronto,ON","Led a comprehensive process mapping initiative of the end-to-end order fulfillment cycle, identifying key stakeholders and operational bottlenecks to create a baseline for strategic evaluation.","Executed a detailed comparative cost analysis between in-house warehousing and a partial drop-shipping model, quantifying the financial impact of each strategy on the company's bottom line.","Delivered a data-backed recommendation for an optimized logistics strategy, providing a clear path to enhance efficiency, reduce operational costs, and improve customer satisfaction."
46,HRC,Talent Acquisition Intern,Candidate Sourcing and Pipeline Development,Jobque.ai,8 weeks,"Toronto,ON","Developed a practical sourcing plan using platforms like LinkedIn, job boards, and social media to find and attract qualified candidates.","Built a steady pipeline of candidates for key company roles, making sure the best applicants were ready for interviews when needed.","Wrote and improved job postings to attract more suitable applicants, which made the shortlisting and selection process faster and more effective."
47,HRC,HR & Operations Intern,Streamlined Recruitment and Onboarding,Limitless Pet & Home Care,8 weeks,"Toronto,ON","Redesigned the hiring process for contractors using ActiveCampaign, automating key communication steps to speed up recruitment.","Created a new set of interview questions focused on company values and job skills, leading to more consistent and reliable hiring decisions.","Produced a full video training series and quiz for new hires, creating a standard and effective onboarding process that helped contractors get started quickly."
48,HRC,Organizational Development Intern,Employee Engagement and Organizational Assessment Survey Design,Volta Electrique,8 weeks,"Toronto,ON",Designed a detailed employee survey to measure job satisfaction and get honest feedback on internal company processes and management.,"Built the survey to provide clear, useful results that management could act on, including specific metrics on workplace culture.",Delivered a ready-to-use survey that gives leadership the information needed to make specific improvements to the work environment.
49,HRC,HR Generalist Intern,Human Resources Management,U+ Education,8 weeks,"Toronto,ON","Led the project to update the company’s HR handbook, researching modern HR practices to improve policies for the entire employee journey.","Took an active role in recruitment by analyzing job needs, screening candidates in the applicant tracking system (ATS), and scheduling interviews.","Reviewed and improved the existing HR procedures (SOPs), documenting the changes to create a more efficient and consistent process for the team."
50,EEC,Product Engineer Intern,Competitive Product Analysis for Linear Actuators,Progressive Automation,8 weeks,"Toronto,ON","Conducted a detailed technical analysis of competitor linear actuators, comparing key performance metrics and hardware specifications against our own product line.",Created a comprehensive competitive replacement chart to serve as a practical tool for the sales team to quickly identify equivalent products for customers.,"Presented key findings on the competitive landscape to the R&D, sales, and marketing teams, providing clear data to inform future product and sales strategies."
51,EEC,Signal Processing Intern,Signal Processing and Feature Extraction for Radio-Wave-based Sensors,TerraWave,8 weeks,"Toronto,ON","Applied advanced signal processing techniques to analyze raw data from radio-wave sensors, successfully filtering out noise to isolate meaningful information.","Identified and extracted key features, patterns, and anomalies from the sensor data to better understand field performance and data accuracy.",Wrote and documented the analysis scripts used in the project and delivered a final report with practical recommendations for improving future data processing methods.
52,EEC,Design Engineer Intern,Component Selection and Sizing for Medical Device Application,SonoMed Innovations,8 weeks,"Toronto,ON","Analyzed the complex system requirements for a new medical device, defining the critical technical parameters for all electronic and mechanical components.","Researched and evaluated a variety of components from different suppliers, carefully balancing performance, reliability, availability, and cost to make the best selections.","Wrote a detailed technical report that justified the final component choices, clearly explaining how they would integrate to meet the device's specific performance goals."
52,MSFE,Cloud AI Integration Intern,Integrating AI and Cloud Infrastructure for Enhanced Asset Management,Gluu,8 weeks,"Toronto,ON","Engineered and configured a scalable Amazon EC2 instance to serve as the backbone for integrating advanced AI models, directly enabling real-time asset condition reporting.","Successfully integrated the Dify AI Bot with a Supabase backend and Vercel front-end, establishing a robust, full-stack data pipeline for a multi-modal AI asset management system.","Led the development and refinement of a prototype watch classification model within AWS SageMaker, improving brand identification accuracy and providing actionable data for asset tracking."
52,MSFE,Cloud Infrastructure Intern,Integrating AI and Cloud Infrastructure for Enhanced Asset Management,Gluu,8 weeks,"Toronto,ON","Performed a critical update and reconfiguration of a production Amazon EC2 instance, ensuring high availability and robust support for newly deployed cloud services and AI integrations.","Architected and validated the communication pathways between the Supabase database and the Vercel front-end interface, ensuring low-latency data retrieval and a responsive user experience.","Authored a comprehensive technical report and presented findings on model optimization techniques, creating a knowledge base that guided future cloud infrastructure and AI integration strategies."
52,MSFE,AI Data Management Intern,Integrating AI and Cloud Infrastructure for Enhanced Asset Management,Gluu,8 weeks,"Toronto,ON","Managed and structured the complex data flows for a multi-modal AI model, ensuring the integrity and quality of data used for real-time machine learning and asset condition reporting.","Played a key role in the development of a refined AI prototype by curating and preparing datasets in AWS SageMaker, which directly contributed to a significant improvement in watch classification accuracy.","Diligently documented all data management processes, configurations, and scripts within AWS SageMaker, promoting transparency, reproducibility, and collaborative development for future project phases."
52,MSFE,AR Platform Architect Intern,Re-Architecting ARCortex's Unity-Based AR Platform,ARCortex,8 weeks,"Toronto,ON","Designed a novel, scalable architecture for an immersive AR/VR platform by leveraging agent-based computing and generative AI, reducing human development effort and increasing creative flexibility.","Developed the specifications for a Model Context Protocol (MCP) and an Agent-to-Agent (A2A) protocol, creating a foundational system for modular agent coordination and seamless composability.","Authored a detailed evaluation report comparing scene-based versus video-based authoring workflows, providing critical data that informed the strategic direction for optimizing performance and user engagement."
52,MSFE,Generative AI Developer Intern,Re-Architecting ARCortex's Unity-Based AR Platform,ARCortex,8 weeks,"Toronto,ON","Implemented a functional prototype that integrated no-code pipelines with AI-driven scene generation, successfully demonstrating a new paradigm that drastically reduces manual development and authoring time.","Leveraged emerging physics-based AI models to simulate complex, realistic interactions within AR environments, eliminating the need for manual tuning and enhancing the immersive experience.","Built and presented a complete end-to-end demonstration system that showcased the workflow from a high-level user prompt to a fully deployed, dynamic, and immersive AR/VR experience."
